,MARUTI,M&M,TATAMOTORS,BAJAJ-AUTO,EICHERMOT,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,JSWSTEEL,RELIANCE,ONGC,NTPC,POWERGRID,BAJFINANCE,ADANIENT,SBILIFE,HINDUNILVR,ITC,BRITANNIA,SUNPHARMA,DIVISLAB,TCS,INFY,HCLTECH,WIPRO,ULTRACEMCO,COALINDIA,BAJAJFINSV,CIPLA,GRASIM,HEROMOTOCO,HINDALCO,INDUSINDBK,LT,TECHM,UPL,ASIANPAINT,BPCL,HDFCLIFE,TATACONSUM
MARUTI,0.0,1.0,0.7449049832072562,1.0,0.7431477649488567,0.0,0,0,0,0.0,0.7354186232224588,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7583940181234605,0,0.0,0.0,0.7681004966417471,0.7949545934698382,0.0,0.0,0.0,0.0,0.0,0,0,0,0
M&M,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0.0,0.8993494919902462,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7948661623069224,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
TATAMOTORS,0.7449049832072562,1.0,0.0,1.0,1.0,0.7858676110434024,0,0,0,0.8000462096791492,0.7244383921375175,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.905472837406696,0,0.0,0.723921290260696,0.7439266739858892,1.0,0.0,0.0,0.8221126877827737,0.0,0.0,0,0,0,0
BAJAJ-AUTO,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7785811629024808,0,0,0,0
EICHERMOT,0.7431477649488567,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.738603252053993,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
HDFCBANK,0.0,0.0,0.7858676110434024,0.0,0.0,0.0,1,1,1,0.8973317993502475,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.9300004398714344,0.0,0.0,0.0,1.0,0.904337776919494,0.7616160585296182,0.8068169302979163,0,0,0,0
ICICIBANK,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
SBIN,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
KOTAKBANK,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
AXISBANK,0.0,0.0,0.8000462096791492,0.0,0.0,0.8973317993502475,1,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.802091873202656,0.714216654689568,0.0,0.0,1.0,0.943644082226414,0.0,0.7353263620945337,0,0,0,0
